Date,Value
2012,3076.59
2012,3069.79
2012,3066.96
2012,3136.42
2012,3183.95
2012,3179.96
2012,3116.23
2012,3136.19
2012,3044.11
2012,3005.62
2012,2987.95
2012,2982.13
2012,2904.87
2012,2853.13
2012,2966.85
2012,3010.24
2012,2978.04
2012,2971.33
2012,3021.01
2012,2960.31
2013,3101.66
2013,3125.63
2013,3134.71
2013,3149.71
2013,3179.1
2013,3193.87
2013,3192.03
2013,3161.82
2013,3169.74
2013,3244.37
2013,3249.07
2013,3245
2013,3267.52
2013,3203.86
2013,3294.95
2013,3206.06
2013,3279.26
2013,3378.63
2013,3436.58
2013,3498.97
2013,3459.14
2013,3455.91
2013,3469.22
2013,3423.56
2013,3357.25
2013,3403.25
2013,3479.38
2013,3600.08
